source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_lattice_depth,vertices,4,152671.0,167230.0,43656.0,232568.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_lattice_depth,faces,4,315369.0,345592.0,87944.0,482348.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_lattice_pyrite_hq_steps8_tex2048_xformers_textured,vertices,1,294399.0,294399.0,294399.0,294399.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,pyrite_lattice_pyrite_hq_steps8_tex2048_xformers_textured,faces,1,226088.0,226088.0,226088.0,226088.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,root_vine_connected_control,vertices,1,14615.0,14615.0,14615.0,14615.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,root_vine_connected_control,faces,1,29496.0,29496.0,29496.0,29496.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,vine_d5_projected_compete_stage_01_parthenocissus_steps4_tex1024_xformers_textured,vertices,1,517487.0,517487.0,517487.0,517487.0
results/baseline_metric_inventory_20260509/existing_metric_inventory.csv,24,case,vine_d5_projected_compete_stage_01_parthenocissus_steps4_tex1024_xformers_textured,faces,1,377432.0,377432.0,377432.0,377432.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,vertices,8,176448.5,69227.0,21600.0,647958.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,faces,8,127564.5,48650.0,10800.0,455964.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,component_count,8,29682.75,10288.5,5400.0,113957.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,welded_component_count,8,85.125,8.0,1.0,627.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,largest_occupancy_component_ratio_6n,8,0.675139,0.959933,0.002445,1.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,occupancy_component_count_6n,8,396.25,31.5,1.0,2511.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,surface_area_est,8,2.961572,2.079377,1.095995,7.720903
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,,,bbox_volume,8,0.560191,0.560626,0.312788,0.781959
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,vertices,1,21600.0,21600.0,21600.0,21600.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,faces,1,10800.0,10800.0,10800.0,10800.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,component_count,1,5400.0,5400.0,5400.0,5400.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,welded_component_count,1,1.0,1.0,1.0,1.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,largest_occupancy_component_ratio_6n,1,0.002445,0.002445,0.002445,0.002445
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,occupancy_component_count_6n,1,2511.0,2511.0,2511.0,2511.0
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,surface_area_est,1,4.671187,4.671187,4.671187,4.671187
results/baseline_one_to_one_metrics_20260510/metrics.csv,8,label,dla_cluster_baseline,bbox_volume,1,0.617628,0.617628,0.617628,0.617628
